municipio,abertura,fechamento,atividade,porte,natureza juridica
Floriano,2004-05-04,,CONSTRUÇÃO,media/grande,Sociedade Simples Limitada
Cajueiro da Praia,2024-02-02,2010-11-01,COMÉRCIO,me,MEI – Microempreendedor Individual
Sebastião Barros,2021-12-30,2023-10-07,INDÚSTRIAS DE TRANSFORMAÇÃO,me,Sociedade Simples Limitada
Olho d'Água do Piauí,2006-12-16,2011-02-16,COMÉRCIO,me,Sociedade Simples Limitada
Sebastião Barros,2014-07-02,2002-12-20,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",mei,Eireli
Santa Luz,2013-09-13,2016-05-01,ELETRICIDADE E GÁS,media/grande,MEI – Microempreendedor Individual
Canto do Buriti,2019-04-01,2005-12-10,INDÚSTRIAS EXTRATIVAS,mei,EI – Empresário Individual
Dirceu Arcoverde,2019-03-12,2009-02-26,ELETRICIDADE E GÁS,me,Sociedade Anônima
Campo Alegre do Fidalgo,2016-08-08,2023-01-22,INDÚSTRIAS DE TRANSFORMAÇÃO,me,EI – Empresário Individual
Palmeirais,2023-03-11,2018-11-22,SERVIÇOS DOMÉSTICOS,media/grande,EI – Empresário Individual
Santa Luz,2000-07-24,,CONSTRUÇÃO,pequena,Sociedade Anônima
Picos,2015-10-09,,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",pequena,Sociedade Anônima
Paulistana,2023-12-15,2003-12-07,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,me,MEI – Microempreendedor Individual
Fartura do Piauí,2014-01-12,,COMÉRCIO,media/grande,Eireli
Bonfim do Piauí,2001-03-29,2008-11-05,ALOJAMENTO E ALIMENTAÇÃO,pequena,Sociedade Anônima
Jerumenha,2007-08-07,2020-07-18,ATIVIDADES IMOBILIÁRIAS,pequena,Sociedade Simples Limitada
João Costa,2005-02-02,,INDÚSTRIAS EXTRATIVAS,me,MEI – Microempreendedor Individual
Lagoa do Barro do Piauí,2017-04-19,2006-02-20,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,EI – Empresário Individual
São Miguel do Fidalgo,2023-06-30,,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",me,Sociedade Simples Limitada
Santo Antônio dos Milagres,2014-11-11,2006-09-05,SERVIÇOS DOMÉSTICOS,mei,Sociedade Anônima
Amarante,2009-05-11,2005-09-01,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,EI – Empresário Individual
Francisco Santos,2006-05-05,2022-01-07,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,Sociedade Simples Limitada
Júlio Borges,2016-11-23,2001-06-19,EDUCAÇÃO,me,EI – Empresário Individual
São Miguel do Fidalgo,2024-05-26,2007-09-21,SERVIÇOS DOMÉSTICOS,mei,Sociedade Simples Limitada
Novo Oriente do Piauí,2018-03-25,2021-01-29,CONSTRUÇÃO,pequena,MEI – Microempreendedor Individual
Campo Maior,2017-10-11,,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,Sociedade Simples Limitada
Santo Antônio dos Milagres,2014-02-14,2023-12-03,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",media/grande,Sociedade Simples Limitada
Sigefredo Pacheco,2019-04-28,2006-10-21,COMÉRCIO,pequena,EI – Empresário Individual
Palmeira do Piauí,2018-06-21,2023-12-28,ATIVIDADES IMOBILIÁRIAS,me,Sociedade Simples Limitada
Regeneração,2011-04-20,2002-10-06,ALOJAMENTO E ALIMENTAÇÃO,me,Eireli
Gilbués,2014-07-05,2024-03-31,COMÉRCIO,pequena,EI – Empresário Individual
Cajazeiras do Piauí,2017-10-05,2018-04-09,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,Sociedade Anônima
Água Branca,2001-06-08,2020-12-01,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",me,Eireli
Esperantina,2017-06-18,2020-11-23,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,MEI – Microempreendedor Individual
Ilha Grande,2009-06-12,2011-07-17,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",media/grande,Sociedade Simples Limitada
São Félix do Piauí,2020-02-14,2006-04-11,ELETRICIDADE E GÁS,pequena,Sociedade Simples Limitada
São José do Peixe,2010-11-24,,INFORMAÇÃO E COMUNICAÇÃO,mei,EI – Empresário Individual
Dom Inocêncio,2004-05-29,,INDÚSTRIAS EXTRATIVAS,me,Sociedade Simples Limitada
Elesbão Veloso,2021-09-22,2007-02-23,INDÚSTRIAS EXTRATIVAS,mei,Sociedade Anônima
Tamboril do Piauí,2015-10-30,2021-07-25,SERVIÇOS DOMÉSTICOS,pequena,Sociedade Anônima
Piracuruca,2018-08-31,,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,Sociedade Simples Limitada
Corrente,2013-11-22,2004-08-17,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",media/grande,Sociedade Anônima
Jurema,2018-04-30,2020-04-28,EDUCAÇÃO,media/grande,Eireli
Novo Oriente do Piauí,2006-11-10,2017-12-25,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,EI – Empresário Individual
Patos do Piauí,2014-05-16,2018-10-25,SAÚDE HUMANA E SERVIÇOS SOCIAIS,pequena,MEI – Microempreendedor Individual
São Pedro do Piauí,2012-05-15,2011-01-24,EDUCAÇÃO,me,Eireli
Padre Marcos,2004-06-12,2012-02-07,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,MEI – Microempreendedor Individual
Pau d'Arco do Piauí,2006-05-14,2020-08-19,EDUCAÇÃO,media/grande,Eireli
Campo Grande do Piauí,2019-05-27,2014-11-05,ELETRICIDADE E GÁS,mei,MEI – Microempreendedor Individual
Vera Mendes,2010-02-04,2004-08-05,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,Sociedade Simples Limitada
Porto,2001-08-15,,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",media/grande,MEI – Microempreendedor Individual
Santa Luz,2009-11-09,2010-05-11,INDÚSTRIAS EXTRATIVAS,media/grande,Eireli
São Braz do Piauí,2017-08-19,2003-11-30,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",pequena,MEI – Microempreendedor Individual
Queimada Nova,2010-07-04,2008-07-19,INDÚSTRIAS EXTRATIVAS,pequena,Sociedade Anônima
Francisco Macedo,2009-09-25,2016-11-06,EDUCAÇÃO,pequena,Sociedade Simples Limitada
Monsenhor Hipólito,2022-01-10,2013-10-07,INDÚSTRIAS DE TRANSFORMAÇÃO,me,Sociedade Anônima
Pio IX,2017-05-10,,INDÚSTRIAS EXTRATIVAS,me,Sociedade Simples Limitada
Antônio Almeida,2008-09-12,2021-12-15,ALOJAMENTO E ALIMENTAÇÃO,media/grande,Eireli
Picos,2006-08-30,2024-01-03,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,EI – Empresário Individual
Gilbués,2007-09-16,2017-08-07,ATIVIDADES IMOBILIÁRIAS,me,Sociedade Simples Limitada
São João da Canabrava,2010-09-28,2019-04-19,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",media/grande,Sociedade Simples Limitada
Queimada Nova,2017-06-14,,ALOJAMENTO E ALIMENTAÇÃO,pequena,EI – Empresário Individual
Assunção do Piauí,2007-09-15,2019-10-08,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,Eireli
Alto Longá,2010-09-23,2013-11-01,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,MEI – Microempreendedor Individual
Tamboril do Piauí,2010-03-01,2003-12-25,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Eireli
Campinas do Piauí,2002-02-10,2008-08-31,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,Eireli
Matias Olímpio,2009-10-07,2016-02-12,SAÚDE HUMANA E SERVIÇOS SOCIAIS,pequena,Sociedade Anônima
Barra d'Alcântara,2017-03-26,,INDÚSTRIAS DE TRANSFORMAÇÃO,me,Sociedade Simples Limitada
São Gonçalo do Gurguéia,2016-12-21,2013-01-31,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,EI – Empresário Individual
Esperantina,2002-12-29,2013-07-08,CONSTRUÇÃO,me,MEI – Microempreendedor Individual
Novo Oriente do Piauí,2001-05-26,,OUTRAS ATIVIDADES DE SERVIÇOS,me,Eireli
Cocal dos Alves,2011-11-29,2018-05-22,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,Sociedade Anônima
Pedro Laurentino,2002-05-18,2015-01-01,CONSTRUÇÃO,media/grande,EI – Empresário Individual
Simplício Mendes,2001-02-17,2007-07-15,COMÉRCIO,me,Sociedade Anônima
São Gonçalo do Gurguéia,2007-02-23,,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,Sociedade Simples Limitada
Conceição do Canindé,2010-07-03,2009-11-01,COMÉRCIO,pequena,Eireli
São Miguel da Baixa Grande,2023-03-21,2016-08-03,ELETRICIDADE E GÁS,pequena,MEI – Microempreendedor Individual
Caxingó,2020-09-05,2019-12-05,CONSTRUÇÃO,pequena,MEI – Microempreendedor Individual
Caraúbas do Piauí,2000-12-24,2009-04-18,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,Sociedade Simples Limitada
São Miguel da Baixa Grande,2005-03-10,2020-08-08,CONSTRUÇÃO,media/grande,Sociedade Simples Limitada
Piripiri,2022-01-31,,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,MEI – Microempreendedor Individual
Capitão de Campos,2001-05-18,2013-07-01,INFORMAÇÃO E COMUNICAÇÃO,media/grande,Sociedade Anônima
Alegrete do Piauí,2023-03-01,2014-07-25,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,Sociedade Simples Limitada
Lagoa do Piauí,2001-01-02,2006-05-14,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,media/grande,EI – Empresário Individual
São Luis do Piauí,2019-10-11,2019-03-25,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",pequena,Sociedade Simples Limitada
São Lourenço do Piauí,2021-09-06,,ATIVIDADES IMOBILIÁRIAS,mei,Sociedade Anônima
Santa Luz,2017-10-27,2018-10-26,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,Sociedade Simples Limitada
Caridade do Piauí,2009-01-08,2008-02-16,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",me,EI – Empresário Individual
Buriti dos Montes,2020-07-05,2016-01-30,INDÚSTRIAS EXTRATIVAS,me,Sociedade Simples Limitada
Morro do Chapéu do Piauí,2009-08-10,2018-02-15,CONSTRUÇÃO,media/grande,Eireli
Floresta do Piauí,2001-08-07,2006-06-25,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,Sociedade Simples Limitada
Pajeú do Piauí,2008-03-04,,SERVIÇOS DOMÉSTICOS,me,Sociedade Simples Limitada
Fronteiras,2008-03-29,,ELETRICIDADE E GÁS,me,Sociedade Simples Limitada
Dom Inocêncio,2020-03-22,2015-08-28,INDÚSTRIAS EXTRATIVAS,me,Sociedade Anônima
Jacobina do Piauí,2014-06-17,,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,MEI – Microempreendedor Individual
Guaribas,2004-04-29,,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,me,Sociedade Anônima
Lagoinha do Piauí,2002-08-03,2009-06-10,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,MEI – Microempreendedor Individual
Acauã,2012-12-10,,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,EI – Empresário Individual
Aroeiras do Itaim,2021-05-16,2004-03-15,CONSTRUÇÃO,mei,EI – Empresário Individual
Guaribas,2001-11-04,,ALOJAMENTO E ALIMENTAÇÃO,mei,Eireli
Francisco Ayres,2003-02-08,2018-04-30,ATIVIDADES IMOBILIÁRIAS,media/grande,Sociedade Simples Limitada
São Luis do Piauí,2024-06-13,2015-09-05,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,Sociedade Simples Limitada
Oeiras,2015-04-28,2008-05-26,SERVIÇOS DOMÉSTICOS,mei,MEI – Microempreendedor Individual
Pau d'Arco do Piauí,2014-01-23,2014-05-06,INFORMAÇÃO E COMUNICAÇÃO,pequena,Sociedade Simples Limitada
Olho d'Água do Piauí,2007-02-25,,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,pequena,Eireli
Avelino Lopes,2021-11-24,2013-05-20,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,Eireli
São João da Fronteira,2013-12-27,2019-01-04,ATIVIDADES IMOBILIÁRIAS,mei,Sociedade Simples Limitada
Francisco Macedo,2013-09-28,,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",me,EI – Empresário Individual
São Francisco de Assis do Piauí,2000-10-10,,SERVIÇOS DOMÉSTICOS,me,EI – Empresário Individual
Alvorada do Gurguéia,2003-09-30,2014-02-19,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,pequena,Sociedade Anônima
Barras,2017-10-16,2004-01-01,CONSTRUÇÃO,me,MEI – Microempreendedor Individual
São Francisco do Piauí,2009-09-07,,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,Sociedade Simples Limitada
Lagoinha do Piauí,2024-04-11,2015-06-17,ALOJAMENTO E ALIMENTAÇÃO,me,MEI – Microempreendedor Individual
Porto,2020-11-01,2008-10-06,"TRANSPORTE, ARMAZENAGEM E CORREIO",media/grande,MEI – Microempreendedor Individual
Caraúbas do Piauí,2007-05-18,2005-08-15,CONSTRUÇÃO,me,Eireli
São Félix do Piauí,2007-06-18,2022-12-14,COMÉRCIO,pequena,Eireli
Eliseu Martins,2007-02-17,,INDÚSTRIAS DE TRANSFORMAÇÃO,me,EI – Empresário Individual
Jatobá do Piauí,2007-07-05,2005-09-10,INDÚSTRIAS EXTRATIVAS,pequena,MEI – Microempreendedor Individual
São José do Piauí,2016-08-11,2010-10-18,ALOJAMENTO E ALIMENTAÇÃO,pequena,Sociedade Simples Limitada
Santa Cruz dos Milagres,2023-01-01,,INFORMAÇÃO E COMUNICAÇÃO,me,Sociedade Simples Limitada
Miguel Leão,2015-09-26,,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,Sociedade Simples Limitada
Assunção do Piauí,2012-11-27,,OUTRAS ATIVIDADES DE SERVIÇOS,me,Eireli
Monsenhor Hipólito,2008-01-10,2011-02-08,INDÚSTRIAS EXTRATIVAS,mei,EI – Empresário Individual
Várzea Branca,2023-07-09,2009-08-02,EDUCAÇÃO,mei,MEI – Microempreendedor Individual
Palmeira do Piauí,2015-07-27,,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,Sociedade Anônima
Oeiras,2006-03-21,,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,Eireli
São Lourenço do Piauí,2015-11-17,2004-10-14,CONSTRUÇÃO,pequena,Sociedade Simples Limitada
São Francisco de Assis do Piauí,2020-03-09,2014-10-10,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",mei,Sociedade Simples Limitada
Campo Grande do Piauí,2024-06-17,2022-07-05,ATIVIDADES IMOBILIÁRIAS,me,Sociedade Simples Limitada
Jaicós,2019-03-24,2015-02-14,EDUCAÇÃO,me,Sociedade Simples Limitada
Cocal de Telha,2001-11-24,2015-01-23,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,MEI – Microempreendedor Individual
Jacobina do Piauí,2020-11-03,2002-01-31,COMÉRCIO,media/grande,EI – Empresário Individual
Cocal dos Alves,2016-02-15,2010-02-21,SERVIÇOS DOMÉSTICOS,media/grande,Eireli
Piracuruca,2001-10-26,,COMÉRCIO,me,Eireli
Parnaguá,2005-10-07,2016-05-04,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",me,Eireli
Cocal,2011-06-11,,ELETRICIDADE E GÁS,pequena,EI – Empresário Individual
Lagoa do Barro do Piauí,2005-02-10,2017-04-28,ATIVIDADES IMOBILIÁRIAS,pequena,Sociedade Anônima
Jurema,2014-05-29,,SAÚDE HUMANA E SERVIÇOS SOCIAIS,pequena,Sociedade Simples Limitada
São José do Piauí,2006-06-30,2019-01-06,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",me,MEI – Microempreendedor Individual
Corrente,2007-09-10,2018-11-20,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,Sociedade Simples Limitada
Campo Grande do Piauí,2013-03-18,2015-08-24,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",pequena,Sociedade Simples Limitada
Várzea Branca,2011-12-29,2015-06-26,ATIVIDADES IMOBILIÁRIAS,me,EI – Empresário Individual
Madeiro,2000-11-01,2007-12-21,SAÚDE HUMANA E SERVIÇOS SOCIAIS,pequena,EI – Empresário Individual
Socorro do Piauí,2012-02-02,2020-07-06,OUTRAS ATIVIDADES DE SERVIÇOS,mei,Sociedade Simples Limitada
Pedro II,2013-05-20,,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",pequena,Sociedade Anônima
Ipirá,2017-12-24,2002-06-19,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,Sociedade Anônima
Bela Vista do Piauí,2003-04-06,2001-01-24,SERVIÇOS DOMÉSTICOS,me,Sociedade Simples Limitada
Pedro Laurentino,2012-02-12,,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,Sociedade Simples Limitada
Prata do Piauí,2022-04-23,2022-08-24,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,Sociedade Simples Limitada
Itainópolis,2010-07-09,,ALOJAMENTO E ALIMENTAÇÃO,pequena,Sociedade Anônima
Boa Hora,2010-01-16,,CONSTRUÇÃO,me,Eireli
Pajeú do Piauí,2013-12-31,2018-04-07,INFORMAÇÃO E COMUNICAÇÃO,me,MEI – Microempreendedor Individual
Barra d'Alcântara,2001-06-12,2011-01-14,OUTRAS ATIVIDADES DE SERVIÇOS,me,EI – Empresário Individual
Água Branca,2019-04-26,2008-08-07,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,Sociedade Simples Limitada
Canto do Buriti,2006-04-28,2004-08-05,ELETRICIDADE E GÁS,mei,Eireli
Paes Landim,2006-05-12,,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,Eireli
Aroazes,2019-05-12,,ALOJAMENTO E ALIMENTAÇÃO,media/grande,Eireli
Corrente,2005-02-19,2011-09-20,EDUCAÇÃO,mei,Eireli
José de Freitas,2006-10-25,2001-07-22,SERVIÇOS DOMÉSTICOS,me,Sociedade Simples Limitada
Curimatá,2005-12-12,2006-10-26,ALOJAMENTO E ALIMENTAÇÃO,me,Sociedade Simples Limitada
Caridade do Piauí,2012-07-09,2003-06-19,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,Sociedade Anônima
São Francisco do Piauí,2022-12-23,,SERVIÇOS DOMÉSTICOS,mei,Sociedade Simples Limitada
São Julião,2003-05-17,,ELETRICIDADE E GÁS,mei,Sociedade Simples Limitada
Barra d'Alcântara,2017-07-26,2013-07-08,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,Eireli
Pavussu,2003-01-01,2017-04-25,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,Sociedade Simples Limitada
Altos,2008-07-30,,INDÚSTRIAS DE TRANSFORMAÇÃO,me,Eireli
Santana do Piauí,2011-07-31,2016-02-27,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,Sociedade Anônima
São José do Piauí,2019-07-22,2001-07-15,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Sociedade Simples Limitada
Madeiro,2005-12-18,2015-11-17,OUTRAS ATIVIDADES DE SERVIÇOS,media/grande,Sociedade Simples Limitada
Água Branca,2016-04-06,2023-10-09,INFORMAÇÃO E COMUNICAÇÃO,media/grande,Sociedade Simples Limitada
Cocal dos Alves,2012-10-27,2013-02-10,ELETRICIDADE E GÁS,media/grande,EI – Empresário Individual
Matias Olímpio,2008-09-05,2010-11-09,ALOJAMENTO E ALIMENTAÇÃO,media/grande,Eireli
Novo Oriente do Piauí,2010-07-29,2024-02-01,CONSTRUÇÃO,media/grande,MEI – Microempreendedor Individual
Francisco Santos,2013-11-29,2023-02-04,INDÚSTRIAS EXTRATIVAS,pequena,Sociedade Simples Limitada
Boqueirão do Piauí,2021-05-27,2018-10-14,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,EI – Empresário Individual
Amarante,2005-01-16,2009-03-12,ATIVIDADES IMOBILIÁRIAS,mei,Sociedade Simples Limitada
Miguel Alves,2011-04-15,,ELETRICIDADE E GÁS,me,Sociedade Simples Limitada
Bocaina,2021-01-01,,COMÉRCIO,mei,Sociedade Anônima
Palmeirais,2000-07-31,2018-05-01,INFORMAÇÃO E COMUNICAÇÃO,mei,Sociedade Simples Limitada
Socorro do Piauí,2017-05-21,2022-07-17,INFORMAÇÃO E COMUNICAÇÃO,pequena,MEI – Microempreendedor Individual
Betânia do Piauí,2001-10-29,2005-06-30,ELETRICIDADE E GÁS,me,Sociedade Anônima
Lagoinha do Piauí,2007-02-18,2004-07-31,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,Eireli
Campo Grande do Piauí,2021-12-02,2021-07-24,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",pequena,Sociedade Simples Limitada
Lagoa Alegre,2021-04-03,2021-06-09,INFORMAÇÃO E COMUNICAÇÃO,pequena,Sociedade Anônima
José de Freitas,2017-11-01,2002-05-10,EDUCAÇÃO,me,Sociedade Simples Limitada
Marcos Parente,2023-11-14,2008-05-05,INFORMAÇÃO E COMUNICAÇÃO,pequena,MEI – Microempreendedor Individual
Prata do Piauí,2013-06-15,2001-05-03,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,MEI – Microempreendedor Individual
Dirceu Arcoverde,2008-05-14,2004-08-22,OUTRAS ATIVIDADES DE SERVIÇOS,media/grande,EI – Empresário Individual
Novo Oriente do Piauí,2007-02-21,,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,Sociedade Simples Limitada
Cajazeiras do Piauí,2012-06-18,2012-09-07,OUTRAS ATIVIDADES DE SERVIÇOS,me,Sociedade Anônima
Milton Brandão,2001-05-30,,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,EI – Empresário Individual
Jurema,2004-03-27,2001-01-11,CONSTRUÇÃO,mei,Sociedade Simples Limitada
Tamboril do Piauí,2021-03-06,,COMÉRCIO,me,EI – Empresário Individual
Santo Antônio dos Milagres,2021-07-25,,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,MEI – Microempreendedor Individual
São João do Piauí,2020-02-05,2003-12-30,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",media/grande,EI – Empresário Individual
José de Freitas,2018-10-29,2008-08-31,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",mei,MEI – Microempreendedor Individual
Uruçuí,2006-03-21,2010-03-11,ATIVIDADES IMOBILIÁRIAS,me,Eireli
São Gonçalo do Gurguéia,2010-12-22,2020-07-27,ALOJAMENTO E ALIMENTAÇÃO,pequena,Sociedade Anônima
Paes Landim,2017-05-13,,ALOJAMENTO E ALIMENTAÇÃO,me,Sociedade Simples Limitada
Madeiro,2005-09-22,2003-08-07,ALOJAMENTO E ALIMENTAÇÃO,media/grande,Sociedade Simples Limitada
Eliseu Martins,2017-04-21,2006-05-15,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,Sociedade Simples Limitada
João Costa,2007-02-16,2020-05-29,COMÉRCIO,mei,MEI – Microempreendedor Individual
Santana do Piauí,2012-11-19,,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,Sociedade Simples Limitada
Santa Luz,2003-02-23,,INDÚSTRIAS EXTRATIVAS,media/grande,Eireli
Pimenteiras,2000-11-12,,CONSTRUÇÃO,media/grande,Sociedade Simples Limitada
Lagoa do Barro do Piauí,2024-02-05,2009-06-14,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,Eireli
Dom Inocêncio,2016-05-02,2013-12-15,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,Eireli
Pedro II,2013-04-09,2009-09-05,INDÚSTRIAS EXTRATIVAS,me,EI – Empresário Individual
Alvorada do Gurguéia,2022-07-17,,EDUCAÇÃO,mei,Sociedade Simples Limitada
São Pedro do Piauí,2004-10-19,,COMÉRCIO,pequena,Sociedade Anônima
Francisco Ayres,2015-06-17,2001-02-27,CONSTRUÇÃO,media/grande,MEI – Microempreendedor Individual
Alegrete do Piauí,2010-05-20,2020-06-20,SERVIÇOS DOMÉSTICOS,pequena,EI – Empresário Individual
Água Branca,2006-07-21,,INFORMAÇÃO E COMUNICAÇÃO,pequena,EI – Empresário Individual
Itainópolis,2019-01-16,2002-09-21,SERVIÇOS DOMÉSTICOS,media/grande,Sociedade Simples Limitada
Cocal,2022-03-12,2013-07-27,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,Sociedade Anônima
Colônia do Gurguéia,2007-11-18,2017-06-06,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,media/grande,Sociedade Simples Limitada
Socorro do Piauí,2013-04-22,2014-03-08,ALOJAMENTO E ALIMENTAÇÃO,pequena,Sociedade Simples Limitada
Betânia do Piauí,2009-11-20,2008-04-07,COMÉRCIO,me,Eireli
Aroazes,2013-06-14,2016-09-28,INDÚSTRIAS EXTRATIVAS,media/grande,Sociedade Simples Limitada
Lagoa do Sítio,2016-01-10,2018-08-30,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Sociedade Simples Limitada
Ribeiro Gonçalves,2002-06-07,2001-02-25,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",mei,EI – Empresário Individual
João Costa,2016-05-06,2007-04-26,ATIVIDADES IMOBILIÁRIAS,pequena,Sociedade Simples Limitada
Santo Antônio dos Milagres,2005-06-01,2006-04-12,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",media/grande,Eireli
Juazeiro do Piauí,2006-02-22,2003-08-04,ATIVIDADES IMOBILIÁRIAS,media/grande,Sociedade Simples Limitada
Cristino Castro,2001-10-16,2022-09-13,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,Sociedade Anônima
Picos,2002-10-17,,COMÉRCIO,me,Sociedade Simples Limitada
Novo Oriente do Piauí,2005-06-18,,INFORMAÇÃO E COMUNICAÇÃO,mei,EI – Empresário Individual
